Bar_name,Module,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
TAT-USE,1,-63.63828531,-99.78188021,-67.06360264,-54.99058531,-68.70018021,-44.84056264,TAT_USE,DEPRECATED,DEPRECATED,USE_ELK_SIR_COP_ONO_TAT_ONO_WIG_COP_NEW_ELK,DEPRECATED,TAT-USE_ELK-TAT_SIR-TAT_COP-TAT_ONO-TAT_TAT-USE_ONO-USE_USE-WIG_COP-USE_NEW-USE_ELK-USE,DEPRECATED,0,inner,mid
ONO-USE,1,-86.13378531,-99.78188021,-56.52309264,-63.63828531,-64.07118021,-44.84056264,ONO_USE,DEPRECATED,DEPRECATED,TAT_ONO_WIG_COP_NEW_ELK_USE_SIR_BAR_TAT_KIT,DEPRECATED,TAT-USE_ONO-USE_USE-WIG_COP-USE_NEW-USE_ELK-USE_ONO-USE_ONO-SIR_BAR-ONO_ONO-TAT_KIT-ONO,DEPRECATED,0,inner,mid
ONO-SIR,1,-86.13378531,-64.07118021,-75.01906264,-82.40258531,-38.02238021,-56.52309264,ONO_SIR,DEPRECATED,DEPRECATED,ONO_BAR_ELK_TAT_FLU_AGE_HUG_CUP_USE_SIR_BAR_TAT_KIT,DEPRECATED,ONO-SIR_BAR-SIR_ELK-SIR_SIR-TAT_FLU-SIR_AGE-SIR_HUG-SIR_CUP-SIR_ONO-USE_ONO-SIR_BAR-ONO_ONO-TAT_KIT-ONO,DEPRECATED,1,inner,mid
BAR-SIR,1,-103.0659853,-38.02238021,-75.01906264,-82.40258531,-32.33598021,-54.60892264,BAR_SIR,DEPRECATED,DEPRECATED,ONO_BAR_ELK_TAT_FLU_AGE_HUG_CUP_SIR_ONO_FLU_CUP_DOG_AGE,DEPRECATED,ONO-SIR_BAR-SIR_ELK-SIR_SIR-TAT_FLU-SIR_AGE-SIR_HUG-SIR_CUP-SIR_BAR-SIR_BAR-ONO_BAR-FLU_BAR-CUP_BAR-DOG_AGE-BAR,DEPRECATED,0,inner,mid
ELK-TAT,1,-71.27318531,-77.45418021,-67.06360264,-54.99058531,-68.70018021,-31.86202264,ELK_TAT,DEPRECATED,DEPRECATED,USE_ELK_SIR_COP_ONO_TAT_SIR_COP_KIT_WIG_USE,DEPRECATED,TAT-USE_ELK-TAT_SIR-TAT_COP-TAT_ONO-TAT_ELK-TAT_ELK-SIR_COP-ELK_ELK-KIT_ELK-WIG_ELK-USE,DEPRECATED,0,inner,mid
ELK-SIR,1,-82.40258531,-77.45418021,-75.01906264,-71.27318531,-38.02238021,-31.86202264,ELK_SIR,DEPRECATED,DEPRECATED,TAT_SIR_COP_KIT_WIG_USE_ONO_BAR_ELK_TAT_FLU_AGE_HUG_CUP,DEPRECATED,ELK-TAT_ELK-SIR_COP-ELK_ELK-KIT_ELK-WIG_ELK-USE_ONO-SIR_BAR-SIR_ELK-SIR_SIR-TAT_FLU-SIR_AGE-SIR_HUG-SIR_CUP-SIR,DEPRECATED,0,inner,mid
SIR-TAT,1,-82.40258531,-68.70018021,-75.01906264,-54.99058531,-38.02238021,-67.06360264,SIR_TAT,DEPRECATED,DEPRECATED,USE_ELK_SIR_COP_ONO_ONO_BAR_ELK_TAT_FLU_AGE_HUG_CUP,DEPRECATED,TAT-USE_ELK-TAT_SIR-TAT_COP-TAT_ONO-TAT_ONO-SIR_BAR-SIR_ELK-SIR_SIR-TAT_FLU-SIR_AGE-SIR_HUG-SIR_CUP-SIR,DEPRECATED,1,inner,mid
COP-TAT,1,-54.99058531,-102.0463802,-67.06360264,-40.06518531,-68.70018021,-38.18104264,COP_TAT,DEPRECATED,DEPRECATED,USE_ELK_SIR_COP_ONO_TAT_WOW_USE_NEW_ELK_GET,DEPRECATED,TAT-USE_ELK-TAT_SIR-TAT_COP-TAT_ONO-TAT_COP-TAT_COP-WOW_COP-USE_COP-NEW_COP-ELK_COP-GET,DEPRECATED,1,inner,mid
COP-WOW,1,-57.83488531,-126.2468802,-38.18104264,-40.06518531,-102.0463802,-12.31965264,COP_WOW,DEPRECATED,DEPRECATED,TAT_WOW_USE_NEW_ELK_GET_COP_WIG_SAD_NEW,DEPRECATED,COP-TAT_COP-WOW_COP-USE_COP-NEW_COP-ELK_COP-GET_COP-WOW_WIG-WOW_SAD-WOW_NEW-WOW,DEPRECATED,0,inner,mid
WIG-WOW,1,-80.66018531,-126.2468802,-14.00430264,-57.83488531,-104.1232802,-12.31965264,WIG_WOW,DEPRECATED,DEPRECATED,WOW_USE_KIT_ELK_KEY_COP_WIG_SAD_NEW,DEPRECATED,WIG-WOW_USE-WIG_KIT-WIG_ELK-WIG_KEY-WIG_COP-WOW_WIG-WOW_SAD-WOW_NEW-WOW,DEPRECATED,0,inner,mid
